"time" "direct" "dist" "width" "length" "positive_frequency" "negative_frequency" "file"
78702.968 3 235.625 55 52 42.9487 57.0513 "20190319"
78703.218 3 235.671 55 53 42.735 57.265 "20190319"
78703.452 3 235.553 55 52 50.4274 49.5726 "20190319"
78848.308 3 234.478 54 52 45.2991 54.7009 "20190319"
79031.031 1 214.53 49 49 51.634 48.366 "20190319"
80024.311 7 197.913 44 52 53.7559 46.4789 "20190319"
80502.275 3 252.334 59 52 41.5094 58.4906 "20190319"
80582.163 3 208.675 47 43 52.5862 47.7012 "20190319"
80758.844 1 265.075 63 53 49.6599 50.3401 "20190319"
80759.078 1 264.71 63 51 42.9487 57.265 "20190319"
80768.173 3 190.967 42 52 71.393 28.3582 "20190319"
80877.061 1 221.419 51 52 61.9658 37.8205 "20190319"
80937.542 3 219.194 50 50 51.9608 48.5294 "20190319"
81002.314 3 217.401 50 52 50 49.7863 "20190319"
81083.652 7 181.8 40 53 50.2415 50 "20190319"
81229.84 1 255.319 60 54 48.9316 50.641 "20190319"
81258.43 1 223.185 51 47 46.9136 52.7778 "20190319"
81374.276 3 237.11 55 52 58.1761 41.8239 "20190319"
81662.19 3 223.959 51 53 59.188 41.0256 "20190319"
81662.517 3 223.963 51 53 58.547 41.453 "20190319"
81667.338 3 226.295 52 52 51.7007 48.2993 "20190319"
81861.319 3 191.662 42 52 51.4957 48.5043 "20190319"
82195.877 1 221.427 51 53 56.6667 43.7037 "20190319"
82321.645 1 186.752 41 52 50 50 "20190319"
82411.813 3 210.239 48 51 53.7037 48.7654 "20190319"
82553.628 3 260.799 62 51 57.265 42.5214 "20190319"
82694.246 5 190.66 42 52 37.1795 62.6068 "20190319"
83060.483 3 212.278 48 53 52.7778 47.2222 "20190319"
83060.998 3 212.392 48 52 57.906 42.094 "20190319"
83061.294 3 213.216 49 51 59.188 41.0256 "20190319"
83088.626 3 231.786 54 49 53.1915 46.8085 "20190319"
83247.215 3 212.487 48 56 50.8547 48.9316 "20190319"
83287.978 1 211.94 48 52 44.8718 55.1282 "20190319"
83295.451 3 266.305 63 52 50.5952 49.1071 "20190319"
83529.498 1 263.487 62 49 42.3077 57.4786 "20190319"
83543.85 1 193.53 43 54 56.6667 43.5714 "20190319"
83910.321 3 208.063 47 46 56.6667 43.3333 "20190319"
84030.815 1 216.699 50 50 48.9316 51.0684 "20190319"
84090.782 1 218.332 50 52 47.0086 51.9231 "20190319"
84724.2 1 200.556 45 54 48.6486 51.1261 "20190319"
84744.028 3 198.551 44 52 51.1494 48.5632 "20190319"
85121.294 5 191.259 42 54 98.0769 42.3077 "20190319"
85133.634 3 235.997 55 53 49.7863 50.2137 "20190319"
85215.752 3 204.911 46 54 51.5351 48.4649 "20190319"
85361.659 3 193.922 43 54 57.4786 42.3077 "20190319"
85377.15 1 257.237 61 56 57.265 42.5214 "20190319"
85434.277 3 223.735 51 53 57.0513 42.9487 "20190319"
85434.511 3 223.994 51 52 54.7619 45.2381 "20190319"
85874.333 3 252.866 59 52 50.641 48.3974 "20190319"
85924.581 3 195.22 44 50 55.814 45.7364 "20190319"
86033.641 3 196.675 44 52 101.496 50.4274 "20190319"
86060.691 3 203.07 46 54 41.453 58.547 "20190319"
86199.885 1 225.486 52 53 45.5128 54.4872 "20190319"
86200.338 1 225.752 52 53 49.359 50.2137 "20190319"
86200.556 1 225.604 52 54 43.5556 56.4444 "20190319"
86251.974 3 190.561 42 51 60.1732 39.8268 "20190319"
221.195 5 242.263 57 50 36.5248 62.766 "20190319"
367.035 5 211.599 48 54 52.7778 47.2222 "20190319"
367.487 5 211.61 48 52 56.4103 43.5897 "20190319"
367.706 5 211.823 48 52 55.1282 44.8718 "20190319"
367.94 5 211.587 48 53 54.955 45.045 "20190319"
457.671 1 233.142 54 53 56.8376 43.1624 "20190319"
474.067 3 188.932 42 54 54.1667 46.25 "20190319"
842.274 5 214.811 49 50 50 50 "20190319"
881.893 7 261.33 62 53 38.4615 61.3248 "20190319"
975.774 7 253.519 60 51 27.3504 72.4359 "20190319"
1183.223 5 245.275 57 51 43.1624 56.4103 "20190319"
1191.429 7 207.08 47 54 25.2137 74.5726 "20190319"
1192.334 7 207.505 47 53 48.2906 51.4957 "20190319"
1357.959 3 210.501 48 53 53.8462 45.9402 "20190319"
1412.871 3 232.257 54 54 58.547 41.2393 "20190319"
1413.324 3 232.606 54 52 57.906 42.094 "20190319"
1465.521 3 238.409 56 52 59.188 40.812 "20190319"
1702.169 3 226.792 52 44 42.1053 57.4561 "20190319"
2235.092 3 181.044 40 54 76.7094 23.5043 "20190319"
2270.129 3 199.584 45 51 49.5833 50.4167 "20190319"
2333.31 3 212.442 48 52 63.4615 36.3248 "20190319"
2381.046 1 228.782 53 51 57.906 42.094 "20190319"
2608.775 3 219.892 50 51 61.1111 39.1813 "20190319"
2649.491 5 258.699 61 52 48.01 51.99 "20190319"
2723.914 3 212.343 48 50 52.7778 47.0086 "20190319"
2794.925 3 186.547 41 44 52.5157 47.1698 "20190319"
2828.309 3 225.513 52 54 57.0513 42.9487 "20190319"
3180.308 3 244.735 57 51 47.1631 52.4823 "20190319"
3495.673 5 266.096 63 56 101.282 57.906 "20190319"
3719.112 5 201.072 45 53 41.453 58.3333 "20190319"
4021.919 1 184.356 40 52 54.4872 45.7265 "20190319"
4151.462 3 206.123 46 53 51.0684 49.1453 "20190319"
4227.419 3 224.647 52 51 64.9573 35.0427 "20190319"
4704.868 5 247.325 58 53 47.4359 52.5641 "20190319"
4776.768 1 195.816 44 55 53.9007 45.7447 "20190319"
4949.82 7 205.697 46 53 39.5062 60.4938 "20190319"
5181.974 3 183.775 40 50 67.619 31.4286 "20190319"
5478.546 3 187.804 41 49 64 35.3333 "20190319"
5687.665 3 252.068 59 52 50.2137 49.7863 "20190319"
5831.039 1 228.034 53 53 53.3898 46.8927 "20190319"
5901.255 3 207.965 47 54 59.8291 40.1709 "20190319"
6285.905 5 218.734 50 44 40.3846 59.8291 "20190319"
6425.583 3 204.908 46 53 60.9453 39.0547 "20190319"
6554.205 3 193.409 43 46 49.537 51.3889 "20190319"
6863.07 3 248.753 58 53 59.8291 40.1709 "20190319"
7005.883 1 235.758 55 51 50.641 49.359 "20190319"
7009.019 3 217.473 50 52 53.1008 47.2868 "20190319"
7177.842 1 228.729 53 48 40.3704 60 "20190319"
7206.047 3 231.627 54 53 58.1197 41.8803 "20190319"
7257.886 1 243.22 57 54 43.4783 57.0048 "20190319"
7394.214 3 222.722 51 53 70.3252 29.6748 "20190319"
7404.869 3 252.118 59 49 53.9474 45.1754 "20190319"
7440.094 3 200.943 45 52 61.3248 38.6752 "20190319"
7440.656 3 201.296 45 54 70.0855 29.9145 "20190319"
7440.874 3 200.989 45 54 62.6068 37.3932 "20190319"
7441.108 3 201.19 45 54 71.1538 28.8462 "20190319"
7441.56 3 201.22 45 53 58.3333 41.8803 "20190319"
7442.013 3 201.091 45 54 55.7692 44.2308 "20190319"
7442.699 3 201.478 45 53 64.5833 35 "20190319"
7442.949 3 201.087 45 53 57.0513 43.1624 "20190319"
7443.401 3 201.33 45 53 70.9402 28.8462 "20190319"
7443.62 3 201.14 45 53 57.265 43.3761 "20190319"
7443.854 3 201.209 45 53 56.1404 44.152 "20190319"
7444.306 3 201.319 45 53 57.4786 43.3761 "20190319"
7444.852 3 201.577 45 53 67.3077 32.6923 "20190319"
